2003-2,2003-02-24,2003-06-20
2004-1,2003-08-18,2004-12-05
2004-2,2004-02-09,2004-06-04
2005-1,2004-08-16,2004-12-03
2005-2,2005-02-02,2005-06-03
2006-1,2005-08-15,2005-12-02
2006-2,2006-02-13,2006-06-09
2007-1,2006-08-14,2006-11-30
2007-2,2007-02-12,2007-06-06
2008-1,2007-08-13,2007-11-30
2003-1,2002-09-12,2003-01-24
1996-1,1996-01-01,1996-03-01
1997-1,1997-01-01,1997-03-01
1993-1,1993-01-01,1993-06-01
1993-2,1993-07-01,1993-12-01
1994-1,1994-01-01,1994-06-01
1994-2,1994-07-01,1994-12-01
1995-1,1995-01-01,1995-06-01
1995-2,1995-07-01,1995-12-01
2000-1,2000-01-01,2000-06-01
2000-2,2000-07-01,2000-12-01
1996-2,1996-06-01,1996-12-01
2001-1,2001-01-01,2001-12-01
2001-2,2001-07-01,2001-12-01
2002-1,2002-01-01,2002-06-01
2002-2,2002-07-01,2002-12-01
1997-2,1997-07-01,1997-12-01
1998-1,1998-01-01,1998-06-01
1998-2,1998-07-01,1998-12-01
1999-1,1999-01-01,1998-06-01
2008-2,2008-01-01,2008-12-01
1999-2,1999-07-01,1999-12-01
2009-2,2009-05-14,2009-07-02
2009-1,2008-08-01,2008-12-31
2010-2,2010-01-01,2010-06-30
2011-1,2010-08-09,2010-12-10
2010-1,2009-08-09,2009-12-31
2011-2,2011-02-01,2011-05-27
2012-1,2011-06-01,2011-12-31
2012-2,2012-01-01,2012-06-01
2013-1,2012-07-01,2012-12-31
2013-2,2013-01-01,2013-06-06
2014-1,2013-07-01,2013-12-31
