id, name
1, Universidad
2, Escuela
3, Facultad
4, Instituto
5, Departamento
6, Secretaría
7, Unidad
8, Centro
9, Oficina
10, Museo
11, Dirección
12, Recintos
13, Plantel
14, Otro
15, Consejo
16, Coordinación
17, Asociación
18, Academia
19, Foro
20, Programa
21, Asamblea
22, Cuerpo
23, Comité
24, Comisión
25, Colegio
26, Confederación
27, Corporación
28, Fundación
29, Observatorio
30, Plan
31, Padrón
32, Red
33, Sistema
34, Unión
35, Sociedad
36, Fondo
37, Frente
38, Sindicato
39, Agencia
40, Subsecretaría
41, Organización
42, Consorcio
