id, name, abbrev, administrative_key, zipcode, url, country_id, institution_id, fax, phone, city_id, institutiontitle_id, institutiontype_id, other, state_id, addr
1, Universidad Nacional Autónoma de México, UNAM, , 4510, http://www.unam.mx, 484, , , 64, 1, 1, , 9, "Ciudad Universitaria, Delegación Coyoacán"
2, Proyectos de Investigación y Mejoramiento de la Enseñanza en el Bachillerato, , 45901, , , 484, 1, , , 64, 14, 1, , 9, 
3, Programa Universitario de Estudios de Género, , 21109, , , 484, 1, , , 64, 14, 1, , 9, 
4, Casa del Lago Maestro Juan José Arreola, , 61601, , , 484, 1, , , 64, 14, 1, , 9, 
5, Auditoria Interna, , 74101, , , 484, 1, , , 64, 14, 1, , 9, 
6, Defensoría de los Derechos Universitarios, , 76201, , , 484, 1, , , 64, 14, 1, , 9, 
7, Escuela Nacional de Artes Plásticas, , 43201, , , 484, 1, , , 64, 2, 1, , 9, 
8, Escuela Nacional de Enfermería y Obstetricia, , 434, , , 484, 1, , , 64, 2, 1, , 9, 
9, Escuela Nacional de Música, , 43501, , , 484, 1, , , 64, 2, 1, , 9, 
10, Escuela Nacional de Trabajo Social, , 43601, , , 484, 1, , , 64, 2, 1, , 9, 
11, Facultad de Estudios Profesionales Acatlán, , 44201, , , 484, 1, , , 64, 2, 1, , 9, 
12, Facultad de Estudios Profesionales Aragón, , 44401, , , 484, 1, , , 64, 2, 1, , 9, 
13, Facultad de Arquitectura, , 424, , , 484, 1, , , 64, 3, 1, , 9, 
14, Facultad de Ciencias, , 411, , , 484, 1, , , 64, 3, 1, , 9, 
15, Facultad de Ciencias Políticas y Sociales, , 412, , , 484, 1, , , 64, 3, 1, , 9, 
16, Facultad de Contaduría y Administración, , 413, , , 484, 1, , , 64, 3, 1, , 9, 
17, Facultad de Derecho, , 414, , , 484, 1, , , 64, 3, 1, , 9, 
18, Facultad de Economía, , 423, , , 484, 1, , , 64, 3, 1, , 9, 
19, Facultad de Filosofía y Letras, , 415, , , 484, 1, , , 64, 3, 1, , 9, 
