id, name
1, Asoc. A  M.T.
2, Asoc. A M.T.
3, Asoc. A  T.C.
4, Asoc. A T.C.
5, Asoc. B  M.T.
6, Asoc. B M.T.
7, Asoc. B  T.C.
8, Asoc. B T.C.
9, Asoc. C  M.T.
10, Asoc. C M.T.
11, Asoc. C  T.C.
12, Asoc. C T.C.
13, Aux. A M.T.
14, Aux. A T.C.
15, Aux. B M.T.
16, Aux. B T.C.
17, Aux. C M.T.
18, Aux. C T.C.
19, Nivel A
20, Nivel A M.T.
21, Nivel A T.C.
22, Nivel B
23, Nivel B M.T.
24, Nivel B T.C.
25, Nivel C M.T.
26, Nivel C T.C.
27, Tit. A  M.T.
28, Tit. A M.T.
29, Tit. A  T.C.
30, Tit. A T.C.
31, Tit. B  M.T.
32, Tit. B M.T.
33, Tit. B  T.C.
34, Tit. B T.C.
35, Tit. C  M.T.
36, Tit. C M.T.
37, Tit. C  T.C.
38, Tit. C T.C.
